web-scraper-order,web-scraper-start-url,player,team,postion,value,popularity
1624189734-2332,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Joshua Kimmich,Slovakiet,Angreb,2.490.000,"0,0%"
1624189734-1926,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Jakub Brabec,Holland,Mål,4.990.000,"0,7%"
1624189734-2040,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Kylian Mbappe,Rusland,Mål,3.968.000,"0,2%"
1624189734-1951,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,David Hancko,Spanien,Midtbane,4.507.000,"2,2%"
1624189734-2083,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Rubin Colwill,Østrig,Midtbane,3.520.000,"1,0%"
1624189734-2267,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Gjoko Zajkov,Tyrkiet,Forsvar,2.887.000,"0,3%"
1624189734-2033,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Steven Berghuis,Portugal,Mål,3.990.000,"0,1%"
1624189734-2278,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Matz Sels,Østrig,Midtbane,2.588.000,"0,3%"
1624189734-2264,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Michy Batshuayi,Tyrkiet,Midtbane,2.960.000,"0,1%"
1624189734-2306,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Jonas Hofmann,Finland,Midtbane,2.524.000,"0,1%"
1624189734-2406,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,David Siger,Sverige,Midtbane,2.027.000,"0,3%"
1624189734-2345,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Luuk de Jong,Tjekkiet,Midtbane,2.490.000,"0,0%"
1624189734-2075,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Jakub Moder,Belgien,Midtbane,3.537.000,"0,2%"
1624189734-2413,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Marcus Forss,Slovakiet,Forsvar,2.016.000,"0,0%"
1624189734-2090,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Damjan Shishkovski,England,Angreb,3.507.000,"3,9%"
1624189734-2326,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Okay Yokuslu,Finland,Midtbane,2.490.000,"0,0%"
1624189734-2235,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Andy Robertson,Portugal,Angreb,2.990.000,"0,1%"
1624189734-2318,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Jon McLaughlin,Østrig,Midtbane,2.490.000,"0,1%"
1624189734-2431,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Przemyslaw Frankowski,Nordmakedonien,Angreb,1.990.000,"0,1%"
1624189734-2299,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Thomas Vermaelen,Polen,Forsvar,2.531.000,"0,3%"
1624189734-2111,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Steve Mandanda,Sverige,Mål,3.490.000,"0,1%"
1624189734-2228,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Robert Lewandowski,Frankrig,Angreb,2.990.000,"0,2%"
1624189734-2375,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Valentino Lazaro,Nordmakedonien,Midtbane,2.474.000,"0,0%"
1624189734-2323,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Leandro Trossard,Danmark,Forsvar,2.490.000,"0,4%"
